,컨텐츠 번호,식물명
89,18655,브리세아
90,18695,비젯티접란
91,18697,비타툼접란
92,19448,산세베리아
93,19449,산세베리아 '골든 하니'
94,19451,산호수
95,19452,삼색데코라고무나무
96,19453,상록넉줄고사리 '후마타'
97,19455,새우란
98,19457,석창포
99,19460,세네시오 라디칸스
100,19663,세이프릿지 야자
101,19696,셀라기넬라
102,19701,소철
103,19703,소피아 고무나무
104,19704,솔레이롤리아
105,19706,수박페페로미아
106,19709,수박필레아
107,19711,수염 틸란드시아
108,19713,숙근이베리스
109,19715,쉐플레라 '홍콩'
110,19716,스킨답서스
111,19717,스파티필룸
112,19718,스파티필룸 (광엽)
113,19719,시서스
114,19707,시클라멘
115,19712,심비디움
116,19714,싱고니움
117,19469,아글라오네마
118,19468,아데니움
119,19467,아디안텀
120,19466,아라우카리아
121,19465,아레카야자
122,19470,아마릴리스
123,19464,아스파라거스 풀루모수스
124,19463,아스플레니움
125,19462,아왜나무
126,19461,아이비
127,19459,아펠란드라
128,18691,아프리칸 바이올렛
129,18660,안수리움
130,18658,알로카시아 아마조니카
131,19471,알로카시아 쿠쿨라타
132,18657,얼룩자주달개비
133,18654,에메랄드리플 페페로미아
134,18601,에크메아 파시아타
135,18598,엘라티올 베고니아
136,18595,여우꼬리풀
137,18591,엽란
138,19474,옥살리스(사랑초)
139,18589,온시디움
140,18588,왜란
141,18587,왜성종려죽
142,18585,움벨라타 고무나무
143,18582,유카
144,18581,은사철나무
145,18578,익소라
146,17748,인삼벤자민
147,17741,자금우
148,17393,자란
149,16450,자주색만년초
150,16447,접란
151,16248,제라니움
152,16242,좀마삭줄
153,16036,종려방동사니
154,16035,종려죽
155,16033,죽백나무
156,15834,줄리아 페페로미아
157,12991,참쇠고비(섬쇠고비)
158,12989,치자나무
159,15829,칼라데아 마코야나
160,14918,칼라데아 인시그니스
161,14917,칼라데아 크로카타
162,14914,칼라디움
163,13319,칼랑코에
164,13317,커피나무
165,13318,켄챠야자
166,13309,코르딜리네 레드에지
167,13260,크로톤
168,13261,크로톤
169,13257,크립탄서스
170,13255,클레마티스
171,12996,털달개비
172,13001,털머위
173,13002,테이블야자
174,13003,톨미아
175,13004,틸란드시아
176,13248,파키라
177,13247,파피오페딜럼
178,13245,팔레놉시스(호접란)
179,13244,팔손이나무
180,13242,팬더 고무나무
181,13253,팻츠헤데라
182,13240,페페로미아 오브투시폴리아
183,13216,페페로미아 클루시폴리아
184,13215,페페로미아 푸테올라타
185,13214,포인세티아
186,13213,폴리시아스
187,13212,푸밀라고무나무
188,13211,프테리스
189,13209,피라칸사
190,13251,피토니아 핑크스타
191,13197,피토니아 화이트스타
192,13194,픽투라툼 접란
193,13193,"필레아 글라우카(타라, 블루체인)"
194,13190,필로덴드론 '선라이트'
195,13187,필로덴드론 '제나두'
196,13192,필로덴드론 고엘디
197,13191,필로덴드론 레몬라임
198,13189,필로덴드론 셀로움
199,13188,필로덴드론 옥시카르디움
200,13249,필로덴드론 콩고
201,12987,해마리아
202,12983,행운목
203,12981,헤미오니티스(하트펀)
204,12979,헤테로파낙스 프라그란스 (해피트리)
205,12978,협죽도
206,12976,형광스킨답서스
207,12986,호야
208,12975,호야 엑소티카
209,12973,호주매
210,12971,홀리아페페로미아
211,12937,황금마삭줄
212,12932,황금죽
213,12956,후피향나무
214,12920,흰꽃나도사프란
215,12919,흰줄무늬달개비(트라데스칸티아)
216,12901,히포에스테스
